id,name,state,city,address,lat,lng,geo_precision,type,source_url,note
sbs-0001,Nethra Vidyalaya — Varija Campus,Andhra Pradesh,"Bhimunipatnam, Visakhapatnam","JET Varija Ashram, 13-239 Mangamaripeta Village, Chappaluppada Post, Bhimli Beach Road, Bhimunipatnam Mandal, Visakhapatnam, Andhra Pradesh",17.8905,83.4506,city,"NGO-run (free, residential, grades 1–10 + junior college)",https://nethravidyalaya.org/,
sbs-0002,Viswabharathi Elementary School for the Blind,Andhra Pradesh,Nellore,"Nellore Block, Nellore District, Andhra Pradesh (est. 1974)",14.4426,79.9865,city,School,https://schools.org.in/nellore/28192591153/viswabharathi-ele-school-for-blind.html,
sbs-0003,Vijaya Mary Integrated Blind School,Andhra Pradesh,Vijayawada,"Vijayawada, Andhra Pradesh (est. 1987, only state-recognised integrated blind school in AP)",16.5062,80.648,city,Integrated School — VI Section,https://visionaid.org/blind-school/vijaya-mary-school-for-the-blind/,
sbs-0004,Asian Aid School for the Blind,Andhra Pradesh,Vizianagaram (Bobbili),"Bobbili, Vizianagaram District, Andhra Pradesh (est. 1993)",18.1067,83.3956,city,NGO-run,https://blindschoolbobbili.in/,
sbs-0005,Assam Andha Shishu Vidyalaya,Assam,"Bihpuria, Lakhimpur district","Bihpuria, Lakhimpur district, Assam (founded 2 Oct 1969)",27.3167,94.1167,city,NGO-run,https://assamtribune.com/north-assams-1st-school-for-visually-impaired-crying-for-attention,
sbs-0006,Guwahati Blind High School,Assam,Guwahati,"Guwahati, Assam (established 1976)",26.1445,91.7362,city,NGO-run,https://www.eyeway.org.in/?q=guwahati-blind-school-%E2%80%93-showing-light,
sbs-0007,Jorhat Blind Institute,Assam,Jorhat,"Jorhat, Assam (exact street address not publicly listed)",26.7509,94.2037,city,NGO-run,https://www.cdac.in/index.aspx?id=mc_st_women_empowerment,
sbs-0008,"School for Visually Challenged Children, Khatkhati",Assam,"Khatkhati village, East Karbi Anglong district","Khatkhati village, East Karbi Anglong district, Assam (built with Indian Army support)",25.8344,93.4356,city,Government-supported,https://www.aninews.in/news/national/general-news/assam-army-helps-in-construction-of-school-for-visually-impaired-at-khatkhati-village20230526102153/,
sbs-0009,Moran Blind School,Assam,Moran,"Moran, Dibrugarh district, Assam",27.2667,95.3333,city,NGO-run,https://healing-lives.org/moran-blind-school-assam-india/,
sbs-0010,"School for Blind Students, Darbhanga",Bihar,Darbhanga,"Darbhanga district — NOTE: exact registered institution name not confirmed, referenced generically in source directory",26.1542,85.8918,city,Unconfirmed type,https://www.indiainfo.net/s/blind-school-in-bihar,
sbs-0011,Gaya Netraheen Vidyalaya,Bihar,Gaya,Gaya district,24.7955,85.0002,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-bihar,
sbs-0012,Antarjyoti Balika Vidyalaya,Bihar,Patna,"Near Panchsheel High School, Kumhrar, Patna, Bihar 800020",25.5941,85.1376,city,NGO-run Residential Girls' School,https://www.biharnetraheenparishad.org.in/antarjyoti-balika-vidyalaya.php,
sbs-0013,"Blind School, Samastipur",Bihar,Samastipur,"Samastipur district — NOTE: exact registered institution name not confirmed, referenced generically in source directory",25.856,85.7885,city,Unconfirmed type,https://www.indiainfo.net/s/blind-school-in-bihar,
sbs-0014,"Institute for the Blind, Sector 26",Chandigarh,Chandigarh,"National Institute of Technical Teachers Training and Research Road, Sector 26, Chandigarh 160019",30.7333,76.7794,city,Government Special School,https://instituteforblind.org/,
sbs-0015,Blind Girls School Chhattisgarh (NFB India),Chhattisgarh,Bilaspur,"Infront of Anand Apartment, 27-Kholi, Vikas Nagar, Bilaspur, Chhattisgarh",22.0797,82.1409,city,NGO-run,https://www.nfbindia.org/site/initiatives/residential-schools-for-the-blind,
sbs-0016,"Government Blind & Deaf Welfare Higher Secondary School, Jagdalpur",Chhattisgarh,Jagdalpur,"Aadawal, Jagdalpur, District Bastar, Chhattisgarh 494001",19.0748,82.0159,city,Government Special School,https://naukripatra.in/jagdalpur-blind-deaf-school-recruitment-2026/,
sbs-0017,Government Higher Secondary School for Blind and Deaf Mute,Chhattisgarh,Raipur,"Mathpurena, Dharshiwa block, Raipur, Chhattisgarh",21.2514,81.6296,city,Government Special School,https://schools.org.in/raipur/22110406209/govt-hss-blind-and-deaf-mute-raipur.html,
sbs-0018,"NAB Girls School (National Association for the Blind, Raipur)",Chhattisgarh,Raipur,"Raipur, Chhattisgarh (exact street address not publicly listed)",21.2514,81.6296,city,NGO-run,http://nabraipur.org/Organisation.html,
sbs-0019,Government Senior Secondary School for Blind Boys,Delhi,Delhi,"Sewa Kutir Complex, Kingsway Camp, Delhi 110009",28.6139,77.209,city,Government Special School,https://socialwelfare.delhi.gov.in/social/govt-senior-secondary-school-blind-boys,
sbs-0020,Jormal Periwal Memorial (JPM) Senior Secondary School for the Blind,Delhi,Delhi,"Blind Relief Association campus, Lal Bahadur Shastri Marg, near The Oberoi Hotel, New Delhi 110003",28.6139,77.209,city,NGO-run,https://www.jpmschool.com/,
sbs-0021,Andha Kanya Prakash Gruh,Gujarat,Ahmedabad,"B/h Manav Mandir, Memnagar, Ahmedabad - 380052",23.0395,72.5426,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-gujarat.html,
sbs-0022,Light House for Blind Girls,Gujarat,Ahmedabad,"Polytechnic, Near Matha Mandir, Ahmedabad - 380015",23.0295,72.549,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-gujarat.html,
sbs-0023,National Association for the Blind — Ahmedabad Branch,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0024,"School for the Blind, Ashram Road",Gujarat,Ahmedabad,"Ashram Road, Navrangpura, Opposite Times of India, Ahmedabad - 380009",23.0365,72.561,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-gujarat.html,
sbs-0025,Shri K.K. School and Home for the Blind Trust,Gujarat,Bhavnagar,"Opp. New Filter, Vidhyanagar, Bhavnagar, Gujarat - 364001",21.7645,72.1519,city,NGO-run,https://www.kkblindschool.org/,
sbs-0026,SAB Sanchalit Blind School,Gujarat,Gandhinagar,"Gandhinagar, Gujarat",23.2156,72.6369,city,NGO-run,https://www.icbse.com/schools/sab-sanchalit-blind-school-242qvq,
sbs-0027,"School for the Blind, Kasturbadham",Gujarat,Rajkot,"Bhavnagar Highway, Kasturbadham, Rajkot",22.267,70.8323,city,NGO-run,https://www.justdial.com/Rajkot/Schools-For-Blind/nct-10422476,
sbs-0028,Andhajan Shikshan Mandal Blind School,Gujarat,Surat,"Ghoddod Road, Surat - 395007",21.1858,72.8103,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-gujarat.html,
sbs-0029,Andh Kanya Vidhyalaya (Lions Blind Girls School),Gujarat,Vadodara,"30 Goyagate Society, Opposite Yogini Vasant Devi Hospital, R.V. Desai Road, Pratapnagar, Vadodara - 390009",22.3072,73.1812,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-gujarat.html,
sbs-0030,Association for the Development of the Blind,Haryana,Faridabad,"Faridabad, Haryana",28.4089,77.3178,city,NGO-run,https://rentechdigital.com/smartscraper/business-report-details/india/list-of-blind-schools-in-haryana,
sbs-0031,Janta Rehabilitation Training Centre for Visually Handicapped,Haryana,Gurgaon,"Gurgaon, Haryana",28.4595,77.0266,city,NGO-run,https://rentechdigital.com/smartscraper/business-report-details/india/list-of-blind-schools-in-haryana,
sbs-0032,AICB Capt. Chandanlal Special School for the Blind,Haryana,Gurugram,"Sector 71, Village Behrampur, Gurugram 122101",28.4595,77.0266,city,NGO-run,https://www.aicb.org.in/chandanlalSchool.html,
sbs-0033,"Blind School, Jhajjar",Haryana,Jhajjar,"Jhajjar, Haryana",28.6062,76.6566,city,NGO-run,https://rentechdigital.com/smartscraper/business-report-details/india/list-of-blind-schools-in-haryana,
sbs-0034,"Government Institute for the Blind, Panipat",Haryana,Panipat,"Panipat, Haryana",29.3909,76.9635,city,Government Special School,https://rentechdigital.com/smartscraper/business-report-details/india/list-of-blind-schools-in-haryana,
sbs-0035,Divya Jyoti Blind School,Haryana,Rohtak,"Rohtak, Haryana",28.8955,76.6066,city,NGO-run,https://rentechdigital.com/smartscraper/business-report-details/india/list-of-blind-schools-in-haryana,
sbs-0036,"Deaf & Blind School, Dhalli",Himachal Pradesh,Shimla,"Dhalli, Mashobra, Shimla, Himachal Pradesh",31.1048,77.1734,city,Government Special School,https://www.icbse.com/schools/deaf-blind-schoo-dhalli-504dy,
sbs-0037,Louie Braille Memorial Residential School for Sightless Girls,Jammu and Kashmir,Jammu,"Mutthi Mode, Roop Nagar Sector, Jammu",32.7266,74.857,city,NGO-run,https://www.nfbindia.org/site/initiatives/residential-schools-for-the-blind,
sbs-0038,"School for the Blind, Bilasi Town Hindipith",Jharkhand,Deoghar,"Bilasi Town Hindipith, Deoghar, Jharkhand",24.4823,86.6947,city,Unconfirmed type,https://griffindaybreakrotary.org/project-document/show?id=7472,
sbs-0039,"Blind Residential School, Hizla",Jharkhand,Dumka,"Hizla, Dumka, Jharkhand 814101",24.2685,87.2496,city,Government/Residential Special School,https://stackschools.com/schools/20110112108/blind-res-school-hizla-dumka,
sbs-0040,Divya Jyoti Netraheen Sansthan,Jharkhand,"Kadma, Jamshedpur","Kadma, Jamshedpur, Purbi Singhbhum, Jharkhand 831005",22.7925,86.1927,city,NGO-run,https://stackschools.com/schools/20180315335/divya-jyoti-netraheen-sansthan-kadma-jamshedpur,
sbs-0041,"Government Blind School, Ranchi",Jharkhand,Ranchi,"Harmu, Ranchi, Jharkhand 834002",23.3629,85.3187,city,Government Special School,https://www.mediainfoline.com/article/smart-braille-teaching-devices-installed-govt-blind-school-ranchi,
sbs-0042,St Michael's School for the Blind,Jharkhand,Ranchi,Ranchi district,23.3441,85.3096,city,Missionary/Christian,https://everyoneisgoodatsomething.com/inclusive-stories/saurabh-prasad/,
sbs-0043,Belgaum District Association for the Blind,Karnataka,Belagavi (Belgaum),"Belagavi, Karnataka",15.8497,74.4977,city,NGO (est. 1972),https://www.icbse.com/schools/maheshwari-school-for-blind-w-no-48-bgm-city-ll354e,
sbs-0044,Maheshwari School for the Blind,Karnataka,Belagavi (Belgaum),"W.No.48, BGM City, Nehru Nagar, Belagavi, Karnataka",15.8497,74.4977,city,School (est. 1978),https://www.maheshwariblindschool.com/,
sbs-0045,JSB Free Residential School for the Blind,Karnataka,Bengaluru,"Archakara Halli, Ramanagar Taluk, Bangalore - 560002, Karnataka",12.9716,77.5946,city,"NGO-run (free, residential)",https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0046,Jyothi Seva Home for Blind Children,Karnataka,Bengaluru,"Venkateshpuram, 1st Main Road, 3rd Cross, Bengaluru, Karnataka",12.9716,77.5946,city,NGO-run (home + school),https://maheshinder.com/page/schools-blind-india,
sbs-0047,Sri Rakum School for the Blind — Indiranagar,Karnataka,Bengaluru,"No. 421, Sri Krishna Temple Road, Indiranagar First Stage, Bangalore - 560038, Karnataka",12.9716,77.5946,city,"NGO-run (free, K–postgraduate)",https://en.wikipedia.org/wiki/Sri_Rakum_School_for_the_Blind,
sbs-0048,Sri Rakum School for the Blind — Jakkur,Karnataka,Bengaluru,"#68, 11th Cross, Telecom Layout, Srirampura, Jakkur, Bangalore - 560064, Karnataka",12.9716,77.5946,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0049,Shree Ramana Maharishi Academy for the Blind (SRMAB),Karnataka,Bengaluru (J.P. Nagar),"CA/1B, 3rd Cross, 3rd Phase, Near Ragi Gudda, J.P. Nagar, Bangalore - 560078, Karnataka",12.9716,77.5946,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0050,Mathru School for the Blind,Karnataka,Bengaluru (Yelahanka),"C.A. Site 14, 6th 'A' Cross, 5th Phase, New Town, Yelahanka, Bangalore - 560064, Karnataka",12.9716,77.5946,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0051,Sri Rakum School for the Blind — Devanahalli,Karnataka,Bengaluru Rural,"Bettanahalli–Tarahunse Road, Maragondanahalli, Devanahalli Taluk, Bangalore Rural - 562110, Karnataka",13.2437,77.7128,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0052,Sadguru Siddaroodh Blind Girls High School,Karnataka,Hubballi,"Magajikondi Chawl, Dharwad, Hubli City, Anand Nagar, Ward No. 39, Karnataka 580024",15.3647,75.124,city,School (girls),https://www.icbse.com/schools/sadguru-siddaroodh-blind-girls-high-school-magajikondi-chawl-hubli-nkpp0e,
sbs-0053,"School for the Blind, Amragol",Karnataka,Hubballi-Dharwad,"4th Cross, Navanagar, Hubli, Karnataka 580025",15.3647,75.124,city,School,https://www.indiainfo.net/place/school-for-the-blind-5093417,
